service_code,service_name,service_type,description,base_price,currency,is_active
CONS-001,General Consultation,Consultation,General doctor consultation,50000,TSh,true
CONS-002,Specialist Consultation,Consultation,Specialist doctor consultation,75000,TSh,true
CONS-003,Follow-up Consultation,Consultation,Follow-up visit with doctor,30000,TSh,true
PROC-001,Blood Test,Procedure,Complete blood count test,25000,TSh,true
PROC-002,Urine Test,Procedure,Urinalysis test,15000,TSh,true
PROC-003,X-Ray,Radiology,X-ray imaging,40000,TSh,true
PROC-004,Ultrasound,Radiology,Ultrasound scan,60000,TSh,true
PROC-005,ECG,Procedure,Electrocardiogram,35000,TSh,true
PROC-006,Blood Pressure Check,Procedure,Blood pressure measurement,5000,TSh,true
PROC-007,Glucose Test,Laboratory,Blood glucose test,20000,TSh,true
PROC-008,Malaria Test,Laboratory,Rapid malaria test,15000,TSh,true
PROC-009,HIV Test,Laboratory,HIV screening test,25000,TSh,true
PROC-010,Pregnancy Test,Laboratory,Pregnancy test,10000,TSh,true
SURG-001,Minor Surgery,Surgery,Minor surgical procedure,150000,TSh,true
SURG-002,Major Surgery,Surgery,Major surgical procedure,500000,TSh,true
SURG-003,Wound Dressing,Surgery,Wound cleaning and dressing,20000,TSh,true
SURG-004,Suturing,Surgery,Wound suturing,30000,TSh,true
EMER-001,Emergency Care,Emergency,Emergency room visit,100000,TSh,true
EMER-002,Ambulance Service,Emergency,Emergency ambulance transport,50000,TSh,true
WARD-001,General Ward,Ward Stay,General ward per day,75000,TSh,true
WARD-002,Private Ward,Ward Stay,Private ward per day,150000,TSh,true
WARD-003,ICU,Ward Stay,Intensive care unit per day,300000,TSh,true
WARD-004,Maternity Ward,Ward Stay,Maternity ward per day,100000,TSh,true
PHARM-001,Medication Dispensing,Pharmacy,Pharmacy dispensing fee,5000,TSh,true
OTHER-001,Medical Certificate,Other,Medical certificate issuance,10000,TSh,true
OTHER-002,Vaccination,Other,Vaccination service,30000,TSh,true
